atom_id,section,performed_by,current_source_text,proposed_source_text,reviewer_note,reviewer_id
atom_sop_ast29080_proc_a_s1,A,Global Safety Officer (GSO),Notify a member of Safety Data Science in QSEG of the need for an ALSAP and request an ALSAP Lead.,,,
atom_sop_ast29080_proc_a_s2,A,ALSAP Lead,Collaborate with SMT to identify contributing authors and reviewers.,,,
atom_sop_ast29080_proc_a_s3,A,ALSAP Lead,Schedule and conduct ALSAP Kick-Off Meeting.,,,
atom_sop_ast29080_proc_a_s4,A,ALSAP Lead,Collaborate with contributing authors and confirm alignment on section deliverables and target dates.,,,
atom_sop_ast29080_proc_b_s1,B,ALSAP Contributing Author,Provide the ALSAP Lead with contributions to the ALSAP within the agreed-upon timeframe.,,,
atom_sop_ast29080_proc_b_s2,B,ALSAP Lead,"Draft the ALSAP using FORM-AST-34037 (ALSAP Template), with the support of the Contributing Authors. If the asset already has an approved ALSAP, obtain the most current version from the EDMS to make the updates.",,,
atom_sop_ast29080_proc_b_s3,B,ALSAP Lead,Distribute the draft ALSAP for review to the ALSAP Reviewers.,,,
atom_sop_ast29080_proc_b_s4,B,ALSAP Reviewer,Review draft ALSAP to ensure alignment in approach for the asset and provide feedback to the ALSAP Lead.,,,
atom_sop_ast29080_proc_b_s5,B,ALSAP Lead,"Reconcile comments/edits in consultation with the ALSAP Contributing Authors, follow up on any comments/edits, and repeat steps 2-4 until all comments/edits are addressed.",,,
atom_sop_ast29080_proc_b_s6,B,ALSAP Lead,Finalize the ALSAP and route for approvals in the EDMS.,,,
atom_sop_ast29080_proc_b_s7,B,ALSAP Approver,Review and approve the ALSAP in EDMS.,,,
atom_sop_ast29080_proc_b_s8,B,ALSAP Lead,"Notify the ALSAP Contributing Authors, Reviewers, Approvers, and the SAC Chair of the approval of the ALSAP.",,,
atom_sop_ast29080_proc_c_s1,C,ALSAP Lead,"Develop the Tables, Listings, and Figures (TLF) Table of Contents (TOC) and Shells per the asset's ALSAP.",,,
atom_sop_ast29080_proc_c_s2,C,ALSAP Lead,Distribute the TLF TOC and Shells to the SMT Co-Chairs.,,,
atom_sop_ast29080_proc_c_s3,C,ALSAP Lead,Reach alignment with SMT Co-Chairs on TLF TOC and Shells.,,,
atom_sop_ast29080_proc_c_s4,C,ALSAP Lead,File the ALSAP TLF TOC and Shells in the assigned asset folder in the Statistical Computing Environment (SCE).,,,
atom_sop_ast29080_proc_c_s5,C,ALSAP Lead / Safety Programmer,"In collaboration with the Safety Programmer, prepare the plan for development of statistical outputs based on the asset's SMT schedule.",,,
atom_sop_ast29080_proc_c_s6,C,Safety Programmer,Develop Dataset and TLF programming specifications.,,,
atom_sop_ast29080_proc_c_s7,C,ALSAP Lead,Review Dataset and TLF programming specifications and provide feedback.,,,
atom_sop_ast29080_proc_c_s8,C,Safety Programmer,"Develop the datasets (SDTM, ADaM, and non-CDISC derived) and specifications. Note: development programs and output must reside in the PV restricted-access folder of the SCE to protect the blind.",,,
atom_sop_ast29080_proc_c_s9,C,Safety Programmer,Create TLF programs and outputs.,,,
atom_sop_ast29080_proc_c_s10,C,Safety Programmer,Validate TLF programs and outputs.,,,
atom_sop_ast29080_proc_c_s11,C,ALSAP Lead,Review the TLF outputs.,,,
atom_sop_ast29080_proc_c_s12,C,ALSAP Lead,Provide TLF outputs to the SMT per the agreed-upon cycles and timeframes. Note: unblinded data must not be provided to the members of the SMT to protect the blind.,,,
atom_sop_ast29080_proc_c_s13,C,Safety Management Team (SMT),Review ALSAP outputs per SOP-1798.,,,
